* Octave data file for xspice model d_source created by CACE
* Format is time value followed by digital state.
2.03125e-07 1s 1s 0s 0s 0s 1s 1s 0s
2.03613e-07 1s 1s 0s 0s 0s 1s 1s 0s
2.04102e-07 1s 1s 0s 0s 0s 1s 0s 1s
2.0459e-07 1s 1s 0s 0s 0s 1s 0s 0s
2.05078e-07 1s 1s 0s 0s 0s 1s 0s 0s
2.05566e-07 1s 1s 0s 0s 0s 0s 1s 1s
2.06055e-07 1s 1s 0s 0s 0s 0s 1s 0s
2.06543e-07 1s 1s 0s 0s 0s 0s 1s 0s
2.07031e-07 1s 1s 0s 0s 0s 0s 0s 1s
2.0752e-07 1s 1s 0s 0s 0s 0s 0s 0s
2.08008e-07 1s 1s 0s 0s 0s 0s 0s 0s
2.08496e-07 1s 0s 1s 1s 1s 1s 1s 1s
2.08984e-07 1s 0s 1s 1s 1s 1s 1s 0s
2.09473e-07 1s 0s 1s 1s 1s 1s 1s 0s
2.09961e-07 1s 0s 1s 1s 1s 1s 0s 1s
